,Unnamed: 0,word,x,y
0,0.0,3111,-40.44757080078125,-53.54641342163086
1,1.0,subhash,42.2200813293457,-31.327238082885746
2,2.0,nagar,57.27976989746094,-14.914825439453125
3,3.0,behind,51.02151107788086,-23.58266639709473
4,4.0,state,-48.544410705566406,-22.107532501220703
5,5.0,bank,48.89422988891602,-27.485610961914066
6,6.0,of,45.3742561340332,-30.27250671386719
7,7.0,patiala,-53.5362663269043,-27.11457252502441
8,8.0,near,57.33708953857422,-14.494766235351562
9,9.0,rajvanshi,-43.627098083496094,-18.483295440673828
10,10.0,hotel,42.163917541503906,-32.088592529296875
11,11.0,b,57.58051681518555,-16.92901611328125
12,12.0,32,47.07538604736328,-27.48830986022949
13,13.0,carlton,-9.744044303894043,-28.61922836303711
14,14.0,estate,57.81777954101562,-18.93675422668457
15,15.0,1,60.21808624267578,-18.099573135375977
16,16.0,dlf,59.42088317871094,-20.56538963317871
17,17.0,phase,61.27951049804688,-20.51005744934082
18,18.0,5,59.73093795776367,-17.589834213256836
19,19.0,122009,-12.007591247558596,-60.28515625
20,20.0,25,22.683406829833984,-40.44264221191406
21,21.0,opp,51.16134262084961,-27.757781982421875
22,22.0,ganga,-5.818678379058838,-31.26731300354004
23,23.0,apartment,50.7326774597168,-25.53012084960937
24,24.0,neha,39.41546630859375,-35.27731704711914
25,25.0,garg,5.5624427795410165,-37.3817138671875
26,26.0,a,58.8403205871582,-14.195344924926758
27,27.0,140,-12.063994407653807,-67.55674743652344
28,28.0,sushant,59.27936935424805,-19.526443481445312
29,29.0,lok,59.3568000793457,-19.491796493530273
30,30.0,mg,37.3758544921875,-36.24274826049805
31,31.0,road,56.55069351196289,-18.804533004760746
32,32.0,metro,34.528701782226555,-34.663822174072266
33,33.0,station,39.54103088378906,-35.113739013671875
34,34.0,house,57.4994010925293,-12.84211254119873
35,35.0,number,58.88311386108398,-15.735574722290039
36,36.0,1057,-29.014257431030273,-21.14459991455078
37,37.0,sector,59.4481201171875,-13.195801734924315
38,38.0,14,57.43401718139648,-15.395535469055176
39,39.0,haryana,59.9659309387207,-17.886600494384766
40,40.0,no,59.99135208129883,-14.43096160888672
41,41.0,1633,-27.04385757446289,-57.09070587158203
42,42.0,block,59.989036560058594,-18.976377487182614
43,43.0,c,58.63813018798828,-18.491365432739254
44,44.0,palam,61.10197830200195,-20.46399688720703
45,45.0,vih,-16.70611572265625,-27.13753318786621
46,46.0,902,-36.17649459838867,-16.830829620361328
47,47.0,lord,-21.762676239013672,-59.26421737670898
48,48.0,krishna,50.819053649902344,-24.338253021240234
49,49.0,cghs,-16.415332794189453,-60.70564270019531
50,50.0,43,54.81859588623047,-19.643274307250977
51,51.0,4,61.2335090637207,-19.358768463134766
52,52.0,1111,-22.173696517944336,-58.4034309387207
53,53.0,p,55.16453552246094,-20.75547218322754
54,54.0,swarn,-29.92292022705078,-55.02660369873047
55,55.0,jayanti,-41.32476425170898,-15.164935111999512
56,56.0,urban,55.26462173461914,-20.27613639831543
57,57.0,13,54.19363784790039,-21.141063690185547
58,58.0,csector,-43.45890426635742,-14.486356735229492
59,59.0,38413,-27.99850273132324,-19.02610206604004
60,60.0,jacobpura,17.758514404296875,-37.9898567199707
61,61.0,ramlela,-35.69596481323242,-17.835298538208008
62,62.0,ground,58.27985763549805,-15.466283798217773
63,63.0,new,59.7308235168457,-19.01976203918457
64,64.0,railwa,-39.68118286132813,-15.759864807128904
65,65.0,y,20.212726593017575,-40.83780288696289
66,66.0,40928,30.22178649902344,-39.66310119628906
67,67.0,street,56.28095626831055,-15.155982971191404
68,68.0,7,57.77567672729492,-13.749128341674805
69,69.0,jyoti,54.11937713623047,-20.384614944458008
70,70.0,park,59.95063400268555,-19.00851249694824
71,71.0,ashir,22.58283233642578,-39.84576416015625
72,72.0,wad,36.95870208740234,-35.85990524291992
73,73.0,marriage,30.05868911743164,-38.55324935913086
74,74.0,palace,30.539161682128906,-38.376224517822266
75,75.0,flat,54.46299743652344,-20.031177520751953
76,76.0,203,30.11867713928223,-38.88653564453125
77,77.0,tower,57.703208923339844,-19.537328720092773
78,78.0,9,56.83558654785156,-15.478496551513672
79,79.0,sush,-39.23981094360352,-14.617524147033693
80,80.0,4707,-17.315141677856445,-66.93748474121094
81,81.0,402,14.29574489593506,-40.10091400146485
82,82.0,23,58.3773078918457,-13.723642349243164
